name,url
Buprenorphine/naloxone,https://www.drugs.com/cons/buprenorphine-naloxone.html
Bupropion,https://www.drugs.com/bupropion.html
Buspar,https://www.drugs.com/buspar.html
Buspirone,https://www.drugs.com/buspirone.html
Bystolic,https://www.drugs.com/bystolic.html
Cabenuva,https://www.drugs.com/cabenuva.html
Cabometyx,https://www.drugs.com/cabometyx.html
Calcitriol,https://www.drugs.com/mtm/calcitriol.html
Calcium carbonate,https://www.drugs.com/mtm/calcium-carbonate.html
Calquence,https://www.drugs.com/calquence.html
Camzyos,https://www.drugs.com/camzyos.html
Canasa,https://www.drugs.com/canasa.html
Candesartan,https://www.drugs.com/mtm/candesartan.html
Caplyta,https://www.drugs.com/caplyta.html
Captopril,https://www.drugs.com/captopril.html
Carbamazepine,https://www.drugs.com/carbamazepine.html
Carbidopa and levodopa,https://www.drugs.com/mtm/carbidopa-and-levodopa.html
Carvedilol,https://www.drugs.com/carvedilol.html
Carvykti,https://www.drugs.com/carvykti.html
Casodex,https://www.drugs.com/casodex.html
Cefadroxil,https://www.drugs.com/mtm/cefadroxil.html
Cefdinir,https://www.drugs.com/mtm/cefdinir.html
Cefixime,https://www.drugs.com/cefixime.html
Ceftriaxone,https://www.drugs.com/pro/ceftriaxone.html
Cefuroxime,https://www.drugs.com/monograph/cefuroxime.html
Celebrex,https://www.drugs.com/celebrex.html
Celecoxib,https://www.drugs.com/celecoxib.html
Celexa,https://www.drugs.com/celexa.html
Cephalexin,https://www.drugs.com/cephalexin.html
Cequa,https://www.drugs.com/cequa.html
Cetirizine,https://www.drugs.com/cetirizine-hcl.html
Chlorpheniramine,https://www.drugs.com/mtm/chlorpheniramine.html
Chlorthalidone,https://www.drugs.com/mtm/chlorthalidone.html
Cholecalciferol,https://www.drugs.com/mtm/cholecalciferol.html
Cialis,https://www.drugs.com/cialis.html
Cilostazol,https://www.drugs.com/mtm/cilostazol.html
Cimzia,https://www.drugs.com/cimzia.html
Cinryze,https://www.drugs.com/cinryze.html
Cipro,https://www.drugs.com/cipro.html
Ciprofloxacin,https://www.drugs.com/ciprofloxacin.html
Citalopram,https://www.drugs.com/citalopram.html
Clarithromycin,https://www.drugs.com/clarithromycin.html
Claritin,https://www.drugs.com/claritin.html
Clindamycin,https://www.drugs.com/clindamycin.html
Clobetasol,https://www.drugs.com/clobetasol-topical.html
Clobex,https://www.drugs.com/mtm/clobex.html
Clodan,https://www.drugs.com/mtm/clodan.html
Clonazepam,https://www.drugs.com/clonazepam.html
Clonidine,https://www.drugs.com/clonidine.html
Clopidogrel,https://www.drugs.com/mtm/clopidogrel.html
Clotrimazole,https://www.drugs.com/mtm/clotrimazole.html
Cobenfy,https://www.drugs.com/cobenfy.html
Codeine,https://www.drugs.com/codeine.html
Colace,https://www.drugs.com/colace.html
Colazal,https://www.drugs.com/mtm/colazal.html
Colchicine,https://www.drugs.com/colchicine.html
Coreg,https://www.drugs.com/coreg.html
Cosentyx,https://www.drugs.com/cosentyx.html
Crestor,https://www.drugs.com/crestor.html
Cyanocobalamin,https://www.drugs.com/mtm/cyanocobalamin.html
Cyclobenzaprine,https://www.drugs.com/cyclobenzaprine.html
Cymbalta,https://www.drugs.com/cymbalta.html
Dabigatran,https://www.drugs.com/mtm/dabigatran.html
Dapagliflozin,https://www.drugs.com/dapagliflozin.html
Darzalex,https://www.drugs.com/darzalex.html
Dayvigo,https://www.drugs.com/dayvigo.html
Decadron,https://www.drugs.com/mtm/decadron.html
Degarelix,https://www.drugs.com/degarelix.html
Delzicol,https://www.drugs.com/delzicol.html
Denosumab,https://www.drugs.com/denosumab.html
Depakote,https://www.drugs.com/depakote.html
Descovy,https://www.drugs.com/descovy.html
Desloratadine,https://www.drugs.com/mtm/desloratadine.html
Desvenlafaxine,https://www.drugs.com/mtm/desvenlafaxine.html
Desyrel,https://www.drugs.com/mtm/desyrel.html
Deutetrabenazine,https://www.drugs.com/deutetrabenazine.html
Dexamethasone,https://www.drugs.com/dexamethasone.html
Dexilant,https://www.drugs.com/mtm/dexilant.html
Dexlansoprazole,https://www.drugs.com/mtm/dexlansoprazole.html
Dextroamphetamine,https://www.drugs.com/mtm/dextroamphetamine.html
Dextromethorphan,https://www.drugs.com/dextromethorphan.html
Dextrose,https://www.drugs.com/dextrose.html
Diacomit,https://www.drugs.com/diacomit.html
Diastat,https://www.drugs.com/diastat-acudial.html
Diazepam,https://www.drugs.com/diazepam.html
Diclofenac,https://www.drugs.com/diclofenac.html
Dicyclomine,https://www.drugs.com/mtm/dicyclomine.html
Diflucan,https://www.drugs.com/diflucan.html
Digoxin,https://www.drugs.com/digoxin.html
Dilantin,https://www.drugs.com/dilantin.html
Dilaudid,https://www.drugs.com/dilaudid.html
Diltiazem,https://www.drugs.com/diltiazem.html
Diovan,https://www.drugs.com/diovan.html
Dipentum,https://www.drugs.com/mtm/dipentum.html
Diphenhydramine,https://www.drugs.com/diphenhydramine.html
